Date, Bed Time, Sleep Onset Time, Ring Time, Wake Time, Time In Bed, Total Sleep Time, Total Awake Time, Sleep Onset Latency, Halfway Awakening, Snooze, Sleep Efficiency
3/24/2014, 12:59 AM, 1:47 AM, 6:33 AM, 7:44 AM, 6h 45m 46s, 4h 40m 46s, 2h 05m 00s, 47m 57s,9,11,69.20%
3/24/2014, 11:59 PM, 12:29 AM, 7:36 AM, 8:09 AM, 8h 09m 06s, 7h 09m 06s, 1h 00m 00s, 29m 07s,8,4,87.70%
3/27/2014, 11:55 PM, 12:11 AM, 6:46 AM, 8:00 AM, 8h 05m 21s, 7h 08m 21s, 57m 00s, 15m 41s,2,11,88.30%
3/29/2014, 2:53 AM, 3:00 AM, 8:30 AM, 8:46 AM, 5h 52m 45s, 5h 24m 45s, 28m 00s, 6m 14s,4,1,92.10%
3/30/2014, 1:19 AM, 1:26 AM, 8:11 AM, 8:26 AM, 7h 06m 35s, 6h 55m 35s, 11m 00s, 6m 10s,3,1,97.40%
4/2/2014, 1:28 AM, 1:59 AM, 7:00 AM, 7:00 AM, 5h 32m 55s, 4h 36m 55s, 56m 00s, 31m 00s,6,0,83.20%
4/2/2014, 9:32 PM, 1:01 AM, 6:01 AM, 6:29 AM, 8h 57m 05s, 5h 12m 05s, 3h 45m 00s, 3h 28m 47s,0,3,58.10%
4/11/2014, 1:38 AM, 2:40 AM, 6:16 AM, 6:24 AM, 4h 46m 12s, 3h 28m 12s, 1h 18m 00s, 1h 02m 35s,6,1,72.70%
4/18/2014, 11:47 PM, 12:14 AM, -, 6:20 AM, 6h 32m 42s, 5h 46m 42s, 46m 00s, 26m 26s,2,0,88.30%
4/20/2014, 12:04 AM, 12:17 AM, 7:39 AM, 8:06 AM, 8h 02m 06s, 7h 23m 06s, 39m 00s, 12m 58s,7,2,91.90%
4/22/2014, 12:27 AM, 12:33 AM, 6:30 AM, 7:10 AM, 6h 43m 05s, 6h 06m 05s, 37m 00s, 5m 27s,0,7,90.80%
4/24/2014, 1:20 AM, 2:05 AM, 7:05 AM, 7:17 AM, 5h 57m 20s, 4h 53m 20s, 1h 04m 00s, 44m 24s,3,1,82.10%
